key,ar,en,es,ja
jobDetails.12.desiredSkills.3,متاح خلال عدة ساعات من مناطق أمريكا الشمالية/الجنوبية (من الساعة 6 صباحًا حتى 9 مساءً بتوقيت المحيط الهادئ).,Available during several hours of the North / South America time zones (6am - 9pm PT).,Disponibilidad durante varias horas dentro de las zonas horarias de América del Norte/Sur (6am - 9pm PT).,北米/南米のタイムゾーンで数時間対応可能（6am-9pm PT）。
jobDetails.12.desiredSkills.4,استجابة سريعة خلال أيام الأسبوع وعطلات نهاية الأسبوع للمهام السريعة، مثل التدريب.,"Responsive on weekdays and weekends for quick tasks, e.g. onboarding.","Capacidad de respuesta durante semana y fines de semana para tareas rápidas (por ejemplo, incorporación).",平日および週末に迅速な対応ができること、例：オンボーディング。
jobDetails.12.hours.0,10 ساعات على الأقل في الأسبوع على أساس التطوع بدوام جزئي، ويفضل أن يكون ذلك خلال الأشهر الثلاثة المقبلة.,"Minimum 10 hours per week on a part-time volunteer basis, ideally over the next 3 months.","Mínimo 10 horas por semana como voluntario a tiempo parcial, idealmente durante los próximos 3 meses.",理想的には次の3ヶ月間で、毎週最低10時間のパートタイムボランティア。
jobDetails.12.questions.0,تواصل مع frederick.cosper@virufy.org وسنرد عليك بسرعة.,Reach out to frederick.cosper@virufy.org and we will get back to you promptly.,Contáctanos en frederick.cosper@virufy.org y te responderemos a la brevedad.,frederick.cosper@virufy.orgまでご連絡いただければ、迅速に対応いたします。
jobDetails.13.title,مساعد إداري للموارد البشرية,Human Resources Administrative Assistant,Asistente Administrativo de Recursos Humanos,人事アドミニストレーティブアシスタント
jobDetails.13.description,نبحث عن فرد للمساعدة في جميع المهام الإدارية المتعلقة بالموارد البشرية. هذا الشخص سيرتبط مباشرةً بقائد فريق الموارد البشرية.,Seeking an individual to assist in all HR-related administrative tasks. This person will report directly to the Human Resources Team Lead.,Buscamos una persona para asistir en todas las tareas administrativas relacionadas con RRHH. Esta persona reportará directamente al líder del equipo de Recursos Humanos.,すべてのHR関連の管理業務を支援する個人を募集しています。このポジションはHRチームリーダーに直接報告します。
jobDetails.13.responsibilities.0,البحث وتسجيل البيانات لكل متطوع للمساعدة في إنشاء ملف بيانات رئيسي.,Research and record data for each volunteer to help create a master data file.,Investigar y registrar datos de cada voluntario para ayudar a crear un archivo maestro de datos.,各ボランティアのデータを調査し、マスターデータファイルを作成する。
jobDetails.13.responsibilities.1,إجراء تدقيق للقائمة الرئيسية والسجلات الأخرى شهريًا للحفاظ على تحديثها.,Conduct an audit of the master list and other records on a monthly basis to keep updated.,Realizar una auditoría de la lista maestra y otros registros mensualmente para mantenerlos actualizados.,マスターリストやその他の記録の監査を月次で実施し、更新する。
jobDetails.13.responsibilities.2,مساعدة فريق استقطاب المواهب في نشر الأوصاف الوظيفية والمساعدة في إجراء المقابلات الأولية عند الحاجة.,Assist Talent Acquisition team in posting job descriptions and helping conduct first round interviews when needed.,Apoyar al equipo de Adquisición de Talento publicando descripciones de puestos y ayudando en entrevistas preliminares cuando sea necesario.,必要に応じて、求人情報の投稿や一次面接の実施を支援する。
jobDetails.13.responsibilities.3,مساعدة فريق إدارة المواهب من خلال المتابعة مع المتطوعين بعد أسبوع من انضمامهم.,Assist Talent Management Team by checking in with volunteers after one week of joining.,Ayudar al equipo de Gestión de Talento realizando seguimiento con voluntarios después de una semana de haberse unido.,ボランティアの加入後1週間でチェックインを行う。
jobDetails.13.responsibilities.4,المساعدة في إنشاء وتحديث سياسات وإجراءات المنظمة.,Assist in creating and updating organization’s SOPs and policies.,Colaborar en la creación y actualización de SOPs y políticas de la organización.,組織のSOPやポリシーの作成および更新を支援する。
jobDetails.13.responsibilities.5,أبحاث متفرقة وتنظيم البيانات.,"Misc. ad hoc research, and data organization.",Investigaciones ad hoc y organización de datos.,その他の臨時の調査およびデータ整理。
jobDetails.13.responsibilities.6,جميع المهام حسب التعيين.,All tasks as assigned.,Otras tareas asignadas.,すべての割り当てられたタスク。
jobDetails.13.minQualifications.0,أن تكون متاحًا بشكل مرن للتعامل مع المهام العارضة طوال الأسبوع.,Be available on a flexible basis to address one-off tasks throughout the week.,Disponibilidad flexible para atender tareas puntuales durante la semana.,週を通して一時的なタスクに柔軟に対応できること。
jobDetails.13.minQualifications.1,الاهتمام بالتفاصيل - تتطلب الوظيفة الانتباه للتفاصيل والدقة في إتمام المهام.,Attention to Detail — Job requires being careful about detail and thorough in completing work tasks.,Atención al detalle — El puesto requiere ser meticuloso y minucioso en la realización de tareas.,注意力 — 仕事には細部に注意を払い、徹底して作業を完了することが求められます。
jobDetails.13.minQualifications.2,التعاون - تتطلب الوظيفة أن تكون لطيفًا مع الآخرين في العمل وتعرض موقفًا تعاونيًا جيدًا.,"Cooperation — Job requires being pleasant with others on the job and displaying a good-natured, cooperative attitude.",Cooperación — Ser agradable con los demás y mantener una actitud amable y colaborativa.,協力性 — 職場で他の人に対して良好な態度を示し、協力的な姿勢を取ることが求められます。
jobDetails.13.minQualifications.3,الاعتمادية - تتطلب الوظيفة أن تكون موثوقًا ومسؤولًا وملتزمًا بتنفيذ الواجبات.,"Dependability — Job requires being reliable, responsible, and dependable, and fulfilling obligations.","Responsabilidad — Ser confiable, responsable y cumplir con obligaciones.",信頼性 — 仕事には信頼性、責任感が求められ、義務を果たすことが求められます。
jobDetails.13.minQualifications.4,النزاهة - التعامل مع المعلومات الحساسة والسرية بشكل أخلاقي.,Integrity — Handle sensitive and confidential information ethically.,Integridad — Manejar información sensible y confidencial con ética.,誠実性 — 敏感な機密情報を倫理的に取り扱うこと。
jobDetails.13.minQualifications.5,التواصل المهني داخليًا وخارجيًا سواء شفهيًا أو كتابيًا.,Communicate professionally both internally and externally/verbally and written.,"Comunicación profesional tanto interna como externa, verbal y escrita.",内部および外部の両方で、口頭および書面でのプロフェッショナルなコミュニケーションができること。
jobDetails.13.minQualifications.6,الخبرة في استخدام الأدوات المعتمدة على الإنترنت مثل Gsuite و Slack وغيرها.,"Working experience with web-based tools like Gsuite, Slack, etc.","Experiencia trabajando con herramientas web como GSuite, Slack, etc.",Gsuite、Slackなどのウェブベースのツールでの業務経験。
jobDetails.13.desiredSkills.0,استجابة عالية، مرونة في الساعات.,"Highly responsive, flexible with hours.","Alta capacidad de respuesta, flexibilidad horaria.",非常に応答性が高く、柔軟な勤務時間を持つ。
jobDetails.13.desiredSkills.1,التحفيز الذاتي مع إحساس بالعجلة.,Self-motivated with a sense of urgency.,Autonomía y sentido de urgencia.,強い動機づけと緊急感を持つ。
jobDetails.13.hours.0,10 ساعات على الأقل في الأسبوع على أساس التطوع بدوام جزئي.,Minimum 10 hours per week on a part-time volunteer basis.,Mínimo 10 horas por semana como voluntario a tiempo parcial.,毎週最低10時間、パートタイムボランティアとして。
jobDetails.13.questions.0,تواصل مع frederick.cosper@virufy.org وسنرد عليك بسرعة.,Reach out to frederick.cosper@virufy.org and we will get back to you promptly.,Contáctanos en frederick.cosper@virufy.org y te responderemos a la brevedad.,frederick.cosper@virufy.orgまでご連絡いただければ、迅速に対応いたします。
jobDetails.14.title,موظف توظيف تقني,Technical Recruiter,Reclutador Técnico,テクニカルリクルーター
jobDetails.14.description,التواصل مع قسم الموارد البشرية وإدارة Virufy للمناصب المتاحة ومتطلباتها.,Communicate with HR and Virufy leadership for the available positions and their requirements.,Comunicación con RRHH y liderazgo de Virufy sobre las vacantes disponibles y sus requisitos.,HRおよびVirufyリーダーシップと連携して、利用可能なポジションとその要件を伝達する。
jobDetails.14.responsibilities.0,التواصل مع قسم الموارد البشرية وإدارة Virufy للمناصب المتاحة ومتطلباتها.,Communicate with HR and Virufy leadership for the available positions and their requirements,Comunicar con RRHH y liderazgo de Virufy sobre las vacantes y requisitos.,HRおよびVirufyリーダーシップと連携し、利用可能なポジションとその要件を伝える。
jobDetails.14.responsibilities.1,البحث عن واختيار المرشحين الفنيين (تعلم الآلة، معالجة الصوت، معالجة الإشارات، علوم البيانات).,"Source and screen technical candidates (ML, Audio Processing, Signal Processing, Data Science)","Buscar y evaluar candidatos técnicos (ML, Procesamiento de Audio, Procesamiento de Señales, Ciencia de Datos).",技術候補者（機械学習、音声処理、信号処理、データサイエンス）をソースおよびスクリーニングする。
jobDetails.14.responsibilities.2,إنشاء منشورات الوظائف ونشرها على القنوات المناسبة.,Create job postings and post them on relevant channels,Crear descripciones de puestos y publicarlas en canales relevantes.,求人情報を作成し、関連するチャネルに投稿する。
jobDetails.14.responsibilities.3,تنسيق مواعيد المقابلات مع صناع القرار.,Coordinate interview times with decision makers,Coordinar entrevistas con los responsables de la decisión.,意思決定者との面接時間を調整する。
jobDetails.14.responsibilities.4,العمل مع فريق الاتصال لتحديث وسائل التواصل الاجتماعي.,Work with outreach team to update social media,Trabajar con el equipo de alcance para actualizar redes sociales.,アウトリーチチームと協力して、ソーシャルメディアを更新する。
jobDetails.14.responsibilities.5,جمع المرشحين المحتملين من خلال المجتمع.,Crowdsource potential candidates,Buscar candidatos potenciales mediante crowdsourcing.,潜在的な候補者をクラウドソースする。
jobDetails.14.minQualifications.0,خبرة لا تقل عن سنة واحدة كمصمم وظائف أو وكيل توظيف أو في دور مشابه.,"Minimum 1 year of experience as a sourcer, recruitment agent, or related role","Mínimo 1 año de experiencia como reclutador, agente de selección u otro rol similar.",ソーサー、リクルートメントエージェント、または関連する役割での最低1年の経験。
jobDetails.14.minQualifications.1,فهم لتعلم الآلة، الذكاء الاصطناعي، وعلوم البيانات.,"Understanding of Machine Learning, Artificial Intelligence, Data Science","Comprensión de Machine Learning, Inteligencia Artificial, Ciencia de Datos.",機械学習、人工知能、データサイエンスの理解。
jobDetails.14.minQualifications.2,مهارات تواصل ممتازة.,Outstanding communication skills,Excelentes habilidades de comunicación.,優れたコミュニケーションスキル。
jobDetails.14.minQualifications.3,مهارات تفاوض ممتازة.,Excellent negotiation skills,Excelentes habilidades de negociación.,優れた交渉スキル。
jobDetails.14.desiredSkills.0,استجابة عالية، مرونة في الساعات.,"Highly responsive, flexible with hours.","Alta capacidad de respuesta, flexibilidad horaria.",非常に応答性が高く、柔軟な勤務時間を持つ。
jobDetails.14.desiredSkills.1,التحفيز الذاتي مع إحساس بالعجلة.,Self-motivated with a sense of urgency.,Autonomía y sentido de urgencia.,強い動機づけと緊急感を持つ。
jobDetails.14.hours.0,10 ساعات على الأقل في الأسبوع على أساس التطوع بدوام جزئي.,Minimum 10 hours per week on a part-time volunteer basis.,Mínimo 10 horas por semana como voluntario a tiempo parcial.,毎週最低10時間、パートタイムボランティアとして。
jobDetails.14.questions.0,تواصل مع frederick.cosper@virufy.org وسنرد عليك بسرعة.,Reach out to frederick.cosper@virufy.org and we will get back to you promptly.,Contáctanos en frederick.cosper@virufy.org y te responderemos a la brevedad.,frederick.cosper@virufy.orgまでご連絡いただければ、迅速に対応いたします。
jobDetails.15.title,محامي شركي (متعلق بتكنولوجيا المعلومات),Corporate Attorney (IT Oriented),Abogado Corporativo (Enfocado en TI),企業弁護士（IT志向）
jobDetails.15.description,نبحث عن فرد للمساهمة على أساس التطوع بدوام جزئي والتعاون بشكل وثيق مع إدارة Virufy وفرق القانون المنتشرة عالميًا للمساعدة في إدارة قضايا خصوصية البيانات في مناطقهم المحلية.,Seeking an individual to contribute on a part-time volunteer basis and collaborate closely with Virufy management and globally-dispersed legal teams to help manage data privacy concerns for their local jurisdictions.,"Buscamos a una persona que pueda colaborar de forma voluntaria y a tiempo parcial, trabajando en estrecha colaboración con la gestión de Virufy y equipos legales distribuidos globalmente para ayudar a gestionar preocupaciones sobre privacidad de datos en sus jurisdicciones locales.",地域の法務チームと緊密に協力して、地域のデータプライバシー問題を管理するために、パートタイムボランティアとして貢献する個人を募集しています。
jobDetails.15.responsibilities.0,مراجعة وتكييف الوثائق القانونية الخاصة بالتنظيم المحلي التي كتبها المستشار القانوني الكبير مثل اتفاقيات عدم الإفشاء، العقود، اتفاقيات الشراكة، إلخ.,"Review and adapt to local regulation legal documents drafted by senior legal counsel such as NDAs, contracts, partnership agreements, etc.","Revisar y adaptar documentos legales redactados por asesores legales senior, como NDAs, contratos, acuerdos de asociación, etc., conforme a la normativa local.",シニア法務顧問が作成したNDA、契約書、パートナーシップ契約書などの法的文書をローカル規制に適応させる。
jobDetails.15.responsibilities.1,تقديم المشورة للإدارة وفرق الأمان المعلوماتي بشأن السياسات الأمنية المتعلقة بالتنظيمات المحلية.,Advise management and infosec teams on relevant data security policies for local regulations.,Asesorar a la dirección y a los equipos de seguridad informática sobre políticas relevantes de seguridad de datos según la normativa local.,ローカル規制に関連するデータセキュリティポリシーについて、管理チームやインフォセックチームに助言する。
jobDetails.15.responsibilities.2,البحث في قضايا خصوصية البيانات وحمايتها التي يطرحها القادة فيما يتعلق بمنطقتك، مثل CCPA وGDPR وLGPD.,"Research data privacy and protection questions raised from leadership as relevant to your locality, such as for CCPA, GDPR, and LGPD.","Investigar preguntas sobre privacidad y protección de datos planteadas por la dirección, relevantes a su localidad (por ejemplo, CCPA, GDPR y LGPD).",CCPA、GDPR、LGPDなど、地域の規制に関連するデータプライバシーおよび保護に関する質問を調査する。
jobDetails.15.responsibilities.3,دعم الاستجابة للاستفسارات من السلطات الحكومية والطلبات الفردية مثل حذف البيانات وقابلية نقل البيانات.,Support responses to inquiries from government authorities and individual requests such as data deletion and data portability.,"Apoyar en las respuestas a solicitudes de autoridades gubernamentales e individuos, como eliminación o portabilidad de datos.",政府当局からの問い合わせや個別リクエストに対応するサポートを行う。
jobDetails.15.responsibilities.4,ضمان وتقييم ومراقبة الامتثال للمعايير التنظيمية المحلية والدولية المتعلقة بحق البيانات ومعالجة البيانات، فضلاً عن التعرض للمخاطر المتعلقة بالتعديات.,"Ensure, assess and monitor compliance with local and international regulatory standards on habeas data and data treatment, as well as exposure to related infringement risks.","Asegurar, evaluar y monitorear el cumplimiento de normativas regulatorias locales e internacionales sobre habeas data y tratamiento de datos, así como la exposición a riesgos legales relacionados.",地域および国際的な規制基準への準拠を確認し、監視する。
jobDetails.15.responsibilities.5,ترجمة وتكييف الوثائق القانونية حسب الحاجة.,Translate and localize legal documents as necessary.,Traducir y localizar documentos legales según sea necesario.,必要に応じて法的文書を翻訳およびローカライズする。
jobDetails.15.minQualifications.0,طالب قانوني على مستوى الماجستير (LL.M) أو خريج حديث (أتم دراسته وحصل على الشهادة القانونية واجتاز الامتحان المحلي).,"Master's Level legal student (LL.M), or recent grad (having completed JD and passed the relevant Bar).",Estudiante de posgrado en Derecho (LL.M) o egresado reciente (JD completado y con el Bar correspondiente aprobado).,修士レベルの法学生（LL.M）または最近卒業した学生（JDを修了し、関連する弁護士試験に合格していること）。
jobDetails.15.minQualifications.1,منظم، قادر على التعاون، مهتم بالتفاصيل، ومتمكن تقنيًا مع مهارات تواصل استثنائية وقادر على الرد بسرعة على رسائل البريد الإلكتروني/الرسائل.,"Organized, collaborative, detail-oriented, and tech-savvy with exceptional communication skills and responsive to emails/messaging.","Organizado, colaborador, detallista y con habilidades tecnológicas, con excelentes habilidades de comunicación y capacidad de respuesta por correo electrónico/mensajería.",組織的で協力的、細部に注意を払い、テクノロジーに精通しており、優れたコミュニケーションスキルを持つ。
jobDetails.15.minQualifications.2,إحساس قوي بالمسؤولية والقدرة على تنفيذ المهام بشكل مستقل.,Strong sense of responsibility and ability to carry out tasks independently.,Fuerte sentido de responsabilidad y capacidad para trabajar de forma independiente.,強い責任感を持ち、独立してタスクを遂行できる。
jobDetails.15.desiredSkills.0,خبرة سابقة في المنظمات غير الربحية (بما في ذلك البحث أو التدريب).,Previous experience in non-profit organizations (including research or internship).,Experiencia previa en organizaciones sin fines de lucro (incluyendo prácticas o investigación).,非営利団体での経験（研究またはインターンシップを含む）。
jobDetails.15.desiredSkills.1,"فهم المعاني العميقة للمصطلحات القانونية مثل ""الجهود المعقولة"".",Understanding the deep meanings of legal terms such as 'reasonable efforts'.,"Comprensión profunda de términos legales como ""esfuerzos razonables"".",「合理的な努力」などの法的用語の深い意味を理解している。
jobDetails.15.desiredSkills.2,إجادة اللغة الإسبانية و/أو البرتغالية البرازيلية يعد ميزة.,Fluency in Spanish and/or Brazilian Portuguese is a plus.,Fluidez en español y/o portugués brasileño es una ventaja.,スペイン語またはブラジルポルトガル語が堪能であることが望ましい。
jobDetails.15.hours.0,10 ساعات على الأقل في الأسبوع أثناء تكييف السياسات المحلية.,Minimum 10+ hours per week while actively localizing policies.,Mínimo 10+ horas por semana mientras se localizan políticas activamente.,ポリシーのローカライズを行っている間、最低10時間以上。
jobDetails.15.questions.0,تواصل مع frederick.cosper@virufy.org وسنرد عليك بسرعة.,Reach out to frederick.cosper@virufy.org and we will get back to you promptly.,Contáctanos en frederick.cosper@virufy.org y te responderemos a la brevedad.,frederick.cosper@virufy.orgまでご連絡いただければ、迅速に対応いたします。
jobDetails.16.title,مساعد قانوني,Paralegal,Asistente Legal (Paralegal),パラリーガル
jobDetails.16.description,نبحث عن فرد للمساهمة على أساس التطوع بدوام جزئي والتعاون بشكل وثيق مع فريق القانون المنتشر عالميًا في Virufy.,Seeking an individual to contribute on a part-time volunteer basis and collaborate closely with the Virufy globally-dispersed legal team.,Buscamos a una persona para colaborar en forma voluntaria y a tiempo parcial con el equipo legal global de Virufy.,Virufyの世界中に分散した法務チームと緊密に協力して、パートタイムボランティアとして貢献する個人を募集しています。
jobDetails.16.responsibilities.0,تلخيص الوثائق وإعداد التقارير للمحامين.,Summarizing documents and preparing reports for attorneys.,Resumir documentos y preparar informes para abogados.,書類を要約し、弁護士向けにレポートを作成する。
jobDetails.16.responsibilities.1,إجراء البحوث، التحقيق في الحقائق وتطوير الآراء القانونية.,"Conducting research, investigating facts and developing legal opinions.","Realizar investigaciones, recopilar hechos y desarrollar opiniones legales.",調査を実施し、事実を調査し、法的意見を開発する。
jobDetails.16.responsibilities.2,إعداد الوثائق القانونية مثل العقود.,Drafting legal documents such as contracts.,Redactar documentos legales como contratos.,契約書などの法的文書を作成する。
jobDetails.16.responsibilities.3,تنظيم وأرشفة الوثائق حسب الحاجة.,Organizing and archiving documents as required.,Organizar y archivar documentos según se requiera.,必要に応じて書類を整理し、アーカイブする。
jobDetails.16.responsibilities.4,مواكبة التغييرات في الإطار القانوني وتقديم التحديثات في الوقت المناسب بشأن هذه التغييرات.,Keeping track of changes in legal framework and providing timely updates on these changes.,Dar seguimiento a cambios en el marco legal y proporcionar actualizaciones oportunas.,法的枠組みの変更を把握し、これらの変更についてタイムリーに更新を行う。
jobDetails.16.responsibilities.5,ترجمة وتكييف الوثائق القانونية، وفقًا للمهارات اللغوية المتعددة.,"Translate and localize legal documents, dependant upon multilingual skills.","Traducir y localizar documentos legales, dependiendo de las habilidades lingüísticas.",多言語スキルに依存して、法的文書を翻訳およびローカライズする。
jobDetails.16.minQualifications.0,درجة البكالوريوس، أو درجة الزمالة مع خبرة عمل إضافية في دراسات مساعد قانوني.,"Bachelor's Degree, or Associate's Degree with additional work experience, in Paralegal Studies.",Título universitario (Bachelor) o técnico (Associate) con experiencia adicional en Estudios Paralegales.,法学士号、または追加の実務経験を伴う準学士号。
jobDetails.16.minQualifications.1,شهادة مساعد قانوني معتمدة من ABA (أو ما يعادلها).,ABA (or equivalent) Certified Paralegal.,Certificación de Paralegal de la ABA (o equivalente).,ABA（または同等の）認定パラリーガル。
jobDetails.16.minQualifications.2,خبرة سابقة في دور مساعد قانوني في مكتب محاماة.,Previous law firm experience in a Paralegal role.,Experiencia previa en firmas legales en funciones de Paralegal.,法律事務所でのパラリーガルとしての経験。
jobDetails.16.minQualifications.3,عقل تحقيقي ومهارات بحث قوية.,Investigative mind and strong research skills.,Mentalidad investigativa y sólidas habilidades de investigación.,調査に対する探求心と強力な調査スキル。
jobDetails.16.minQualifications.4,خبرة في إعداد التقارير القانونية.,Experience in preparing legal reports.,Experiencia en la preparación de informes legales.,法的レポートの作成経験。
jobDetails.16.minQualifications.5,منظم، قادر على التعاون، مهتم بالتفاصيل، ومتمكن تقنيًا مع مهارات تواصل استثنائية وقادر على الرد بسرعة على رسائل البريد الإلكتروني/الرسائل.,"Organized, collaborative, detail-oriented, and tech savvy with exceptional communication skills and responsive to emails/messaging.","Organizado, colaborador, detallista y con conocimientos tecnológicos, con excelentes habilidades de comunicación y capacidad de respuesta por correo electrónico/mensajería.",組織的、協力的、細部に注意を払い、テクノロジーに精通しており、優れたコミュニケーションスキルを持つ。
jobDetails.16.minQualifications.6,إحساس قوي بالمسؤولية والقدرة على تنفيذ المهام بشكل مستقل.,Strong sense of responsibility and ability to carry out tasks independently.,Fuerte sentido de responsabilidad y autonomía en la ejecución de tareas.,強い責任感を持ち、独立してタスクを遂行できる。
jobDetails.16.desiredSkills.0,خبرة سابقة في المنظمات غير الربحية (بما في ذلك البحث أو التدريب).,Previous experience in non-profit organizations (including research or internship).,Experiencia previa en organizaciones sin fines de lucro (incluyendo prácticas o investigación).,非営利団体での経験（研究またはインターンシップを含む）。
jobDetails.16.desiredSkills.1,إجادة اللغة الإسبانية و/أو البرتغالية البرازيلية.,Fluency in Spanish and/or Brazilian Portuguese.,Fluidez en español y/o portugués brasileño.,スペイン語またはブラジルポルトガル語に堪能。
jobDetails.16.hours.0,10 ساعات على الأقل في الأسبوع أثناء تكييف السياسات المحلية.,Minimum 10+ hours per week while actively localizing policies.,Mínimo 10+ horas por semana mientras se localizan políticas activamente.,ポリシーのローカライズを行っている間、最低10時間以上。
jobDetails.16.questions.0,تواصل مع frederick.cosper@virufy.org وسنرد عليك بسرعة.,Reach out to frederick.cosper@virufy.org and we will get back to you promptly.,Contáctanos en frederick.cosper@virufy.org y te responderemos a la brevedad.,frederick.cosper@virufy.orgまでご連絡いただければ、迅速に対応いたします。
jobDetails.17.title,محلل أعمال,Business Analyst,Analista de Negocios,ビジネスアナリスト
jobDetails.17.description,محللو الأعمال هم المحركون للنمو المستمر والنجاح. من خلال التزامهم بالابتكار، يسعى هؤلاء المحللون لتطوير وتنفيذ المبادرات الاستراتيجية من أجل تحسين الكفاءة والإنتاجية. نحن حالياً نبحث عن محلل أعمال ذو خبرة للمساعدة في توجيه منظمتنا إلى المستقبل. من البحث عن حلول أنظمة تقدمية إلى تقييم آثارها، سيكون المرشح المثالي مخططًا دقيقًا، ومتحدثًا خبيرًا، ومحللًا متميزًا. يجب أن يكون هذا الشخص أيضًا ملتزمًا تمامًا باكتشاف وتطوير حلول مبتكرة في مشهد رقمي متغير باستمرار.,"Business analysts are the drivers of our continued growth and success. With their commitment to innovation, these analysts seek, develop, and help implement strategic initiatives for improved efficiency and productivity. We’re currently searching for an experienced business analyst to help guide our organization to the future. From researching progressive systems solutions to evaluating their impacts, the ideal candidate will be a detailed planner, expert communicator, and top-notch analyst. This person should also be wholly committed to the discovery and development of innovative solutions in an ever-changing digital landscape.","Los analistas de negocios son los impulsores de nuestro crecimiento y éxito continuo. Con su compromiso con la innovación, estos analistas buscan, desarrollan e implementan iniciativas estratégicas para mejorar la eficiencia y productividad. Actualmente estamos buscando un analista de negocios con experiencia para guiar a nuestra organización hacia el futuro. Desde investigar soluciones de sistemas progresivos hasta evaluar su impacto, el candidato ideal será un planificador detallado, comunicador experto y analista de primer nivel. Esta persona también debe estar completamente comprometida con el descubrimiento y desarrollo de soluciones innovadoras en un panorama digital en constante cambio.",ビジネスアナリストは、私たちの継続的な成長と成功の原動力です。これらのアナリストは、イノベーションに対するコミットメントを持ち、効率と生産性の向上を目指して戦略的イニシアチブを開発および実施します。現在、私たちは経験豊富なビジネスアナリストを募集しており、組織を未来に導く役割を担います。進歩的なシステムソリューションの研究から、その影響の評価まで、理想的な候補者は詳細に計画し、専門的にコミュニケーションし、優れたアナリストである必要があります。このポジションは、常に変化するデジタル環境で革新的なソリューションの発見と開発に完全にコミットしている必要があります。
jobDetails.17.responsibilities.0,التعاون مع أصحاب المصلحة عبر وحدات الأعمال (مثل: المبيعات، المالية، الأمان، الامتثال) لتطوير التحليلات والوثائق بطريقة تعاونية، مع التواصل بفعالية وكفاءة مع الفرق الإنتاجية والإدارية والتنفيذية.,"Partner with stakeholders across business units (ex: sales, finance, security, compliance) to develop analyses and documentation in a collaborative way, communicating effectively and efficiently with production, managerial, and executive teams.","Colaborar con partes interesadas de diversas unidades de negocio (ej: ventas, finanzas, seguridad, cumplimiento) para desarrollar análisis y documentación de manera colaborativa, comunicándose de manera eficaz y eficiente con equipos de producción, gerenciales y ejecutivos.",ビジネスユニット全体（例：セールス、ファイナンス、セキュリティ、コンプライアンス）のステークホルダーと協力して、分析および文書を作成し、生産、マネージャー、経営陣との効果的かつ効率的なコミュニケーションを行う。
jobDetails.17.responsibilities.1,تقييم وتحليل وتواصل متطلبات الأنظمة على أساس مستمر، والحفاظ على العمليات الخاصة بالأنظمة، بما في ذلك تقديم تقارير الحالة الشهرية لجميع الأطراف المعنية.,"Evaluate, analyze, and communicate systems requirements on a continuing basis, and maintain systems processes, including the delivery of monthly status reports to all appropriate parties.","Evaluar, analizar y comunicar los requisitos del sistema de forma continua, y mantener los procesos del sistema, incluida la entrega de informes de estado mensuales a todas las partes apropiadas.",システム要件を継続的に評価、分析し、プロセスを維持する。適切な関係者に月次ステータスレポートを提供する。
jobDetails.17.responsibilities.2,كتابة وتحديث الوثائق الداخلية والخارجية، والبدء رسميًا وتقديم المتطلبات والوثائق، بما في ذلك النتائج بصيغ أكاديمية، مثل أوراق البحث.,"Author and update internal and external documentation, and formally initiate and deliver requirements and documentation, including results into academic formats, e.g. research papers.","Redactar y actualizar documentación interna y externa, e iniciar y entregar formalmente los requisitos y documentación, incluidos los resultados en formatos académicos, ej. artículos de investigación.",内部および外部の文書を作成および更新し、要件や文書を正式に開始し、配信する。学術的形式に結果をまとめる。
jobDetails.17.responsibilities.3,إجراء التحليلات اليومية للأنظمة لتعظيم الفعالية وحل المشكلات.,Conduct daily systems analytics to maximize effectiveness and troubleshoot problems.,Realizar análisis diarios de sistemas para maximizar la efectividad y resolver problemas.,日々のシステム分析を実施し、効率を最大化し、問題をトラブルシューティングする。
jobDetails.17.responsibilities.4,تطوير علاقات ذات مغزى ودائمة مع الشركاء من أجل تكامل الأنظمة المحسن، والرد على الأسئلة والاهتمامات من المديرين والتنفيذيين مع دعم الأبحاث والتوصيات.,"Develop meaningful and lasting relationships with partners for optimized systems integration, and respond to questions and concerns from managers and executives with supporting research and recommendations.","Desarrollar relaciones significativas y duraderas con socios para una integración óptima de sistemas, y responder preguntas e inquietudes de gerentes y ejecutivos con investigaciones y recomendaciones fundamentadas.",パートナーとの関係を構築し、システム統合を最適化し、マネージャーや経営陣からの質問や懸念に対してサポート研究や提案を提供する。
jobDetails.17.minQualifications.0,عمر 18 سنة أو أكثر.,Age 18 or over.,Mayor de 18 años.,18歳以上。
jobDetails.17.minQualifications.1,مصرح قانونيًا للعمل في الولايات المتحدة (لا نرعى تأشيرات H-1B).,Legally authorized to work in the United States (We do not sponsor H-1B Visas).,Autorizado legalmente para trabajar en los Estados Unidos (No patrocinamos visas H-1B).,米国で合法的に働く資格があること（H-1Bビザのスポンサーは行いません）。
jobDetails.17.minQualifications.2,خريج مدرسة ثانوية أو حاصل على شهادة جامعية.,High School Graduate or College Degree.,Graduado de secundaria o con título universitario.,高校卒業または大学の学位。
jobDetails.17.minQualifications.3,هوية صورة صالحة (رخصة قيادة أو جواز سفر).,Valid Photo ID (Drivers License or Passport).,Identificación con foto válida (licencia de conducir o pasaporte).,有効な写真付きID（運転免許証またはパスポート）。
jobDetails.17.minQualifications.4,خبرة لا تقل عن سنتين في التحليلات وتطوير الأنظمة.,2 or more years of experience in analytics and systems development.,2 o más años de experiencia en análisis y desarrollo de sistemas.,2年以上の分析およびシステム開発の経験。
